Gen 283:    maxUtil = 602.8    aveUtil = 531.327
Gen 284:    maxUtil = 602.8    aveUtil = 532.55
Gen 285:    maxUtil = 602.8    aveUtil = 526.867
Gen 286:    maxUtil = 602.8    aveUtil = 529.171
Gen 287:    maxUtil = 602.8    aveUtil = 525.266
Gen 288:    maxUtil = 602.8    aveUtil = 527.579
Gen 289:    maxUtil = 602.8    aveUtil = 531.371
Gen 290:    maxUtil = 602.8    aveUtil = 530.514
Gen 291:    maxUtil = 602.8    aveUtil = 532.182
Gen 292:    maxUtil = 602.8    aveUtil = 534.676
Gen 293:    maxUtil = 602.8    aveUtil = 532.502
Gen 294:    maxUtil = 605.1    aveUtil = 533.808
Gen 295:    maxUtil = 605.1    aveUtil = 533.602
Gen 296:    maxUtil = 605.1    aveUtil = 533.117
Gen 297:    maxUtil = 605.1    aveUtil = 534.669
Gen 298:    maxUtil = 605.1    aveUtil = 536.327
Gen 299:    maxUtil = 605.1    aveUtil = 534.525
Gen 300:    maxUtil = 609.6    aveUtil = 534.303
Gen 301:    maxUtil = 609.6    aveUtil = 538.341
Gen 302:    maxUtil = 609.6    aveUtil = 540.427
Gen 303:    maxUtil = 609.6    aveUtil = 539.05
Gen 304:    maxUtil = 609.6    aveUtil = 541.479
Gen 305:    maxUtil = 609.6    aveUtil = 539.736
Gen 306:    maxUtil = 609.6    aveUtil = 540.916
Gen 307:    maxUtil = 609.6    aveUtil = 537.9
Gen 308:    maxUtil = 610.4    aveUtil = 539.762
Gen 309:    maxUtil = 610.4    aveUtil = 539.482
Gen 310:    maxUtil = 610.4    aveUtil = 542.411
Gen 311:    maxUtil = 610.4    aveUtil = 545.459
Gen 312:    maxUtil = 610.4    aveUtil = 547.286
Gen 313:    maxUtil = 610.4    aveUtil = 545.633
Gen 314:    maxUtil = 610.4    aveUtil = 548.842
Gen 315:    maxUtil = 612.6    aveUtil = 545.222
Gen 316:    maxUtil = 612.6    aveUtil = 544.023
Gen 317:    maxUtil = 612.6    aveUtil = 543.947
Gen 318:    maxUtil = 614.0    aveUtil = 545.245
Gen 319:    maxUtil = 621.3    aveUtil = 547.105
Gen 320:    maxUtil = 621.3    aveUtil = 548.978
Gen 321:    maxUtil = 621.3    aveUtil = 544.99
Gen 322:    maxUtil = 621.3    aveUtil = 549.573
Gen 323:    maxUtil = 621.3    aveUtil = 553.463
Gen 324:    maxUtil = 621.3    aveUtil = 549.438
Gen 325:    maxUtil = 622.6    aveUtil = 549.041
Gen 326:    maxUtil = 622.6    aveUtil = 554.347
Gen 327:    maxUtil = 622.6    aveUtil = 553.043
Gen 328:    maxUtil = 622.6    aveUtil = 552.643
Gen 329:    maxUtil = 623.8    aveUtil = 554.9
Gen 330:    maxUtil = 623.8    aveUtil = 556.203
Gen 331:    maxUtil = 623.8    aveUtil = 557.828
Gen 332:    maxUtil = 623.8    aveUtil = 554.454
Gen 333:    maxUtil = 625.7    aveUtil = 556.798
Gen 334:    maxUtil = 625.7    aveUtil = 557.056
Gen 335:    maxUtil = 625.7    aveUtil = 556.848
Gen 336:    maxUtil = 625.7    aveUtil = 561.911
Gen 337:    maxUtil = 625.7    aveUtil = 559.074
Gen 338:    maxUtil = 625.7    aveUtil = 554.396
Gen 339:    maxUtil = 627.7    aveUtil = 560.072
Gen 340:    maxUtil = 627.7    aveUtil = 560.206
Gen 341:    maxUtil = 627.7    aveUtil = 561.239
Gen 342:    maxUtil = 627.7    aveUtil = 562.292
Gen 343:    maxUtil = 627.7    aveUtil = 559.843
Gen 344:    maxUtil = 627.7    aveUtil = 562.505
Gen 345:    maxUtil = 634.6    aveUtil = 562.172
Gen 346:    maxUtil = 634.6    aveUtil = 563.495
Gen 347:    maxUtil = 636.2    aveUtil = 565.169
Gen 348:    maxUtil = 636.2    aveUtil = 560.695
Gen 349:    maxUtil = 636.2    aveUtil = 562.719
Gen 350:    maxUtil = 636.2    aveUtil = 562.417
Gen 351:    maxUtil = 636.2    aveUtil = 563.55
Gen 352:    maxUtil = 636.2    aveUtil = 563.909
Gen 353:    maxUtil = 636.2    aveUtil = 562.611
Gen 354:    maxUtil = 636.2    aveUtil = 565.981
Gen 355:    maxUtil = 636.2    aveUtil = 564.503
Gen 356:    maxUtil = 636.2    aveUtil = 562.1
Gen 357:    maxUtil = 636.2    aveUtil = 562.097
Gen 358:    maxUtil = 636.2    aveUtil = 562.462
Gen 359:    maxUtil = 636.2    aveUtil = 566.277
Gen 360:    maxUtil = 636.2    aveUtil = 566.203
Gen 361:    maxUtil = 636.2    aveUtil = 568.058
Gen 362:    maxUtil = 636.2    aveUtil = 561.818
Gen 363:    maxUtil = 636.2    aveUtil = 565.746
Gen 364:    maxUtil = 636.2    aveUtil = 566.328
Gen 365:    maxUtil = 636.2    aveUtil = 567.413
Gen 366:    maxUtil = 636.2    aveUtil = 566.668
Gen 367:    maxUtil = 636.2    aveUtil = 571.038
Gen 368:    maxUtil = 636.2    aveUtil = 570.335
Gen 369:    maxUtil = 636.2    aveUtil = 568.215
Gen 370:    maxUtil = 643.4    aveUtil = 570.201
Gen 371:    maxUtil = 643.4    aveUtil = 569.704
Gen 372:    maxUtil = 643.4    aveUtil = 571.026
Gen 373:    maxUtil = 643.4    aveUtil = 575.506
Gen 374:    maxUtil = 643.4    aveUtil = 568.156
Gen 375:    maxUtil = 643.4    aveUtil = 575.4
Gen 376:    maxUtil = 643.4    aveUtil = 572.93
Gen 377:    maxUtil = 643.4    aveUtil = 571.632
Gen 378:    maxUtil = 644.0    aveUtil = 575.053
Gen 379:    maxUtil = 644.0    aveUtil = 574.507
Gen 380:    maxUtil = 645.8    aveUtil = 573.265
Gen 381:    maxUtil = 645.8    aveUtil = 575.883
Gen 382:    maxUtil = 645.8    aveUtil = 577.259
Gen 383:    maxUtil = 645.8    aveUtil = 577.113
Gen 384:    maxUtil = 645.8    aveUtil = 574.752
Gen 385:    maxUtil = 645.8    aveUtil = 577.151
Gen 386:    maxUtil = 645.8    aveUtil = 577.111
Gen 387:    maxUtil = 645.8    aveUtil = 578.299
Gen 388:    maxUtil = 645.8    aveUtil = 576.623
Gen 389:    maxUtil = 645.8    aveUtil = 578.986
Gen 390:    maxUtil = 649.8    aveUtil = 581.009
Gen 391:    maxUtil = 649.8    aveUtil = 580.55
Gen 392:    maxUtil = 650.4    aveUtil = 578.556
Gen 393:    maxUtil = 650.4    aveUtil = 576.17
Gen 394:    maxUtil = 650.4    aveUtil = 577.873
Gen 395:    maxUtil = 650.4    aveUtil = 581.53
Gen 396:    maxUtil = 650.4    aveUtil = 580.228
Gen 397:    maxUtil = 650.4    aveUtil = 580.089
Gen 398:    maxUtil = 650.4    aveUtil = 581.947
Gen 399:    maxUtil = 650.4    aveUtil = 579.608
Gen 400:    maxUtil = 650.4    aveUtil = 579.811
Gen 401:    maxUtil = 650.4    aveUtil = 579.687
Gen 402:    maxUtil = 650.4    aveUtil = 580.432
Gen 403:    maxUtil = 650.4    aveUtil = 582.154
Gen 404:    maxUtil = 658.0    aveUtil = 584.359
Gen 405:    maxUtil = 658.0    aveUtil = 582.544
Gen 406:    maxUtil = 658.0    aveUtil = 584.832
Gen 407:    maxUtil = 658.0    aveUtil = 582.752
Gen 408:    maxUtil = 658.0    aveUtil = 586.566
Gen 409:    maxUtil = 658.0    aveUtil = 582.39
Gen 410:    maxUtil = 658.0    aveUtil = 580.603
Gen 411:    maxUtil = 658.0    aveUtil = 579.53
Gen 412:    maxUtil = 658.0    aveUtil = 580.952
Gen 413:    maxUtil = 658.0    aveUtil = 584.336
Gen 414:    maxUtil = 658.0    aveUtil = 583.278
Gen 415:    maxUtil = 658.0    aveUtil = 581.143
Gen 416:    maxUtil = 658.0    aveUtil = 584.373
Gen 417:    maxUtil = 660.0    aveUtil = 585.99
Gen 418:    maxUtil = 661.2    aveUtil = 581.667
Gen 419:    maxUtil = 661.2    aveUtil = 589.262
