Gen 453:   aveUtil = 610.331
Gen 454:   aveUtil = 608.831
Gen 455:   aveUtil = 611.116
Gen 456:   aveUtil = 608.719
Gen 457:   aveUtil = 614.759
Gen 458:   aveUtil = 612.872
Gen 459:   aveUtil = 611.921
Gen 460:   aveUtil = 611.324
Gen 461:   aveUtil = 611.944
Gen 462:   aveUtil = 610.212
Gen 463:   aveUtil = 612.404
Gen 464:   aveUtil = 612.182
Gen 465:   aveUtil = 609.688
Gen 466:   aveUtil = 612.78
Gen 467:   aveUtil = 614.451
Gen 468:   aveUtil = 610.896
Gen 469:   aveUtil = 610.329
Gen 470:   aveUtil = 612.798
Gen 471:   aveUtil = 615.426
Gen 472:   aveUtil = 616.651
Gen 473:   aveUtil = 613.16
Gen 474:   aveUtil = 616.867
Gen 475:   aveUtil = 615.553
Gen 476:   aveUtil = 615.558
Gen 477:   aveUtil = 616.624
Gen 478:   aveUtil = 616.852
Gen 479:   aveUtil = 615.875
Gen 480:   aveUtil = 618.11
Gen 481:   aveUtil = 620.233
Gen 482:   aveUtil = 616.495
Gen 483:   aveUtil = 618.474
Gen 484:   aveUtil = 617.786
Gen 485:   aveUtil = 618.056
Gen 486:   aveUtil = 614.026
Gen 487:   aveUtil = 616.445
Gen 488:   aveUtil = 618.727
Gen 489:   aveUtil = 616.931
Gen 490:   aveUtil = 616.78
Gen 491:   aveUtil = 617.427
Gen 492:   aveUtil = 616.124
Gen 493:   aveUtil = 616.201
Gen 494:   aveUtil = 618.664
Gen 495:   aveUtil = 616.302
Gen 496:   aveUtil = 620.285
Gen 497:   aveUtil = 620.724
Gen 498:   aveUtil = 619.212
Gen 499:   aveUtil = 620.011
Gen 500:   aveUtil = 619.504
Gen 501:   aveUtil = 619.693
Gen 502:   aveUtil = 621.592
Gen 503:   aveUtil = 620.592
Gen 504:   aveUtil = 621.023
Gen 505:   aveUtil = 619.059
Gen 506:   aveUtil = 620.037
Gen 507:   aveUtil = 618.328
Gen 508:   aveUtil = 617.299
Gen 509:   aveUtil = 618.674
Gen 510:   aveUtil = 616.84
Gen 511:   aveUtil = 619.219
Gen 512:   aveUtil = 617.142
Gen 513:   aveUtil = 620.497
Gen 514:   aveUtil = 618.291
Gen 515:   aveUtil = 622.633
Gen 516:   aveUtil = 622.996
Gen 517:   aveUtil = 619.685
Gen 518:   aveUtil = 621.435
Gen 519:   aveUtil = 619.8
Gen 520:   aveUtil = 619.914
Gen 521:   aveUtil = 619.277
Gen 522:   aveUtil = 618.118
Gen 523:   aveUtil = 618.716
Gen 524:   aveUtil = 620.629
Gen 525:   aveUtil = 618.018
Gen 526:   aveUtil = 621.844
Gen 527:   aveUtil = 622.755
Gen 528:   aveUtil = 620.258
Gen 529:   aveUtil = 623.791
Gen 530:   aveUtil = 622.598
Gen 531:   aveUtil = 626.409
Gen 532:   aveUtil = 624.585
Gen 533:   aveUtil = 621.32
Gen 534:   aveUtil = 622.664
Gen 535:   aveUtil = 623.872
Gen 536:   aveUtil = 625.407
Gen 537:   aveUtil = 626.321
Gen 538:   aveUtil = 627.998
Gen 539:   aveUtil = 625.215
Gen 540:   aveUtil = 626.419
Gen 541:   aveUtil = 628.821
Gen 542:   aveUtil = 628.05
Gen 543:   aveUtil = 627.357
Gen 544:   aveUtil = 626.262
Gen 545:   aveUtil = 626.52
Gen 546:   aveUtil = 629.824
Gen 547:   aveUtil = 629.215
Gen 548:   aveUtil = 629.376
Gen 549:   aveUtil = 627.378
Gen 550:   aveUtil = 625.977
Gen 551:   aveUtil = 628.343
Gen 552:   aveUtil = 629.481
Gen 553:   aveUtil = 628.2
Gen 554:   aveUtil = 629.587
Gen 555:   aveUtil = 629.172
Gen 556:   aveUtil = 633.353
Gen 557:   aveUtil = 629.084
Gen 558:   aveUtil = 632.317
Gen 559:   aveUtil = 629.541
Gen 560:   aveUtil = 631.526
Gen 561:   aveUtil = 630.686
Gen 562:   aveUtil = 631.195
Gen 563:   aveUtil = 632.324
Gen 564:   aveUtil = 631.269
Gen 565:   aveUtil = 633.87
Gen 566:   aveUtil = 631.463
Gen 567:   aveUtil = 631.095
Gen 568:   aveUtil = 630.853
Gen 569:   aveUtil = 631.711
Gen 570:   aveUtil = 633.991
Gen 571:   aveUtil = 630.274
Gen 572:   aveUtil = 631.329
Gen 573:   aveUtil = 632.106
Gen 574:   aveUtil = 633.496
Gen 575:   aveUtil = 631.927
Gen 576:   aveUtil = 632.273
Gen 577:   aveUtil = 633.39
Gen 578:   aveUtil = 635.172
Gen 579:   aveUtil = 635.98
Gen 580:   aveUtil = 633.941
Gen 581:   aveUtil = 633.045
