Gen 560:    aveUtil = 583.58
Gen 561:    aveUtil = 583.957
Gen 562:    aveUtil = 587.579
Gen 563:    aveUtil = 581.502
Gen 564:    aveUtil = 585.74
Gen 565:    aveUtil = 588.787
Gen 566:    aveUtil = 586.944
Gen 567:    aveUtil = 584.456
Gen 568:    aveUtil = 582.394
Gen 569:    aveUtil = 583.062
Gen 570:    aveUtil = 580.826
Gen 571:    aveUtil = 584.781
Gen 572:    aveUtil = 582.532
Gen 573:    aveUtil = 584.927
Gen 574:    aveUtil = 588.029
Gen 575:    aveUtil = 587.886
Gen 576:    aveUtil = 587.069
Gen 577:    aveUtil = 586.957
Gen 578:    aveUtil = 583.92
Gen 579:    aveUtil = 588.115
Gen 580:    aveUtil = 588.082
Gen 581:    aveUtil = 589.213
Gen 582:    aveUtil = 588.059
Gen 583:    aveUtil = 587.188
Gen 584:    aveUtil = 588.353
Gen 585:    aveUtil = 594.339
Gen 586:    aveUtil = 588.824
Gen 587:    aveUtil = 591.551
Gen 588:    aveUtil = 590.809
Gen 589:    aveUtil = 589.853
Gen 590:    aveUtil = 592.172
Gen 591:    aveUtil = 589.329
Gen 592:    aveUtil = 587.878
Gen 593:    aveUtil = 589.943
Gen 594:    aveUtil = 590.19
Gen 595:    aveUtil = 583.109
Gen 596:    aveUtil = 590.816
Gen 597:    aveUtil = 590.955
Gen 598:    aveUtil = 587.641
Gen 599:    aveUtil = 588.647
Gen 600:    aveUtil = 587.58
Gen 601:    aveUtil = 590.286
Gen 602:    aveUtil = 593.057
Gen 603:    aveUtil = 590.638
Gen 604:    aveUtil = 595.527
Gen 605:    aveUtil = 599.214
Gen 606:    aveUtil = 595.016
Gen 607:    aveUtil = 599.205
Gen 608:    aveUtil = 596.084
Gen 609:    aveUtil = 599.033
Gen 610:    aveUtil = 596.682
Gen 611:    aveUtil = 599.142
Gen 612:    aveUtil = 593.261
Gen 613:    aveUtil = 594.017
Gen 614:    aveUtil = 593.539
Gen 615:    aveUtil = 591.71
Gen 616:    aveUtil = 589.966
Gen 617:    aveUtil = 588.022
Gen 618:    aveUtil = 592.376
Gen 619:    aveUtil = 593.661
Gen 620:    aveUtil = 590.432
Gen 621:    aveUtil = 593.127
Gen 622:    aveUtil = 589.764
Gen 623:    aveUtil = 590.598
Gen 624:    aveUtil = 589.857
Gen 625:    aveUtil = 589.99
Gen 626:    aveUtil = 594.048
Gen 627:    aveUtil = 598.785
Gen 628:    aveUtil = 593.807
Gen 629:    aveUtil = 595.565
Gen 630:    aveUtil = 590.639
Gen 631:    aveUtil = 593.238
Gen 632:    aveUtil = 593.694
Gen 633:    aveUtil = 597.013
Gen 634:    aveUtil = 596.929
Gen 635:    aveUtil = 597.411
Gen 636:    aveUtil = 597.613
Gen 637:    aveUtil = 589.047
Gen 638:    aveUtil = 593.869
Gen 639:    aveUtil = 592.253
Gen 640:    aveUtil = 595.43
Gen 641:    aveUtil = 597.351
Gen 642:    aveUtil = 599.14
Gen 643:    aveUtil = 596.49
Gen 644:    aveUtil = 595.845
Gen 645:    aveUtil = 597.677
Gen 646:    aveUtil = 597.549
Gen 647:    aveUtil = 598.566
Gen 648:    aveUtil = 597.196
Gen 649:    aveUtil = 598.266
Gen 650:    aveUtil = 597.097
Gen 651:    aveUtil = 596.541
Gen 652:    aveUtil = 598.551
Gen 653:    aveUtil = 599.089
Gen 654:    aveUtil = 596.13
Gen 655:    aveUtil = 597.791
Gen 656:    aveUtil = 597.15
Gen 657:    aveUtil = 600.866
Gen 658:    aveUtil = 598.978
Gen 659:    aveUtil = 597.262
Gen 660:    aveUtil = 598.655
Gen 661:    aveUtil = 597.776
Gen 662:    aveUtil = 595.258
Gen 663:    aveUtil = 597.902
Gen 664:    aveUtil = 592.596
Gen 665:    aveUtil = 598.499
Gen 666:    aveUtil = 597.641
Gen 667:    aveUtil = 600.769
Gen 668:    aveUtil = 601.352
Gen 669:    aveUtil = 602.557
Gen 670:    aveUtil = 598.977
Gen 671:    aveUtil = 603.203
Gen 672:    aveUtil = 596.471
Gen 673:    aveUtil = 603.494
Gen 674:    aveUtil = 605.686
Gen 675:    aveUtil = 604.56
Gen 676:    aveUtil = 602.887
Gen 677:    aveUtil = 605.955
Gen 678:    aveUtil = 609.009
Gen 679:    aveUtil = 604.541
Gen 680:    aveUtil = 604.53
Gen 681:    aveUtil = 606.883
Gen 682:    aveUtil = 603.551
Gen 683:    aveUtil = 604.773
Gen 684:    aveUtil = 608.001
Gen 685:    aveUtil = 605.811
Gen 686:    aveUtil = 605.885
Gen 687:    aveUtil = 606.546
Gen 688:    aveUtil = 605.092
Gen 689:    aveUtil = 609.372
Gen 690:    aveUtil = 608.379
Gen 691:    aveUtil = 609.491
Gen 692:    aveUtil = 611.124
Gen 693:    aveUtil = 609.061
Gen 694:    aveUtil = 608.27
Gen 695:    aveUtil = 608.16
Gen 696:    aveUtil = 610.263
Gen 697:    aveUtil = 614.774
Gen 698:    aveUtil = 615.302
Gen 699:    aveUtil = 611.707
Gen 700:    aveUtil = 612.888
Gen 701:    aveUtil = 614.538
Gen 702:    aveUtil = 612.783
Gen 703:    aveUtil = 609.476
Gen 704:    aveUtil = 613.239
Gen 705:    aveUtil = 610.143
Gen 706:    aveUtil = 609.714
Gen 707:    aveUtil = 613.47
Gen 708:    aveUtil = 615.965
Gen 709:    aveUtil = 613.669
Gen 710:    aveUtil = 611.345
Gen 711:    aveUtil = 613.709
Gen 712:    aveUtil = 612.126
Gen 713:    aveUtil = 611.781
Gen 714:    aveUtil = 610.09
Gen 715:    aveUtil = 614.244
Gen 716:    aveUtil = 612.459
Gen 717:    aveUtil = 612.066
Gen 718:    aveUtil = 614.391
Gen 719:    aveUtil = 615.568
Gen 720:    aveUtil = 617.035
Gen 721:    aveUtil = 613.292
Gen 722:    aveUtil = 614.066
Gen 723:    aveUtil = 616.637
Gen 724:    aveUtil = 610.795
Gen 725:    aveUtil = 612.906
Gen 726:    aveUtil = 617.106
Gen 727:    aveUtil = 615.417
Gen 728:    aveUtil = 615.781
Gen 729:    aveUtil = 617.319
Gen 730:    aveUtil = 617.232
