Gen 544:    aveUtil = 485.29120000000063
Gen 545:    aveUtil = 481.05239999999924
Gen 546:    aveUtil = 485.59259999999864
Gen 547:    aveUtil = 482.364199999999
Gen 548:    aveUtil = 482.26279999999923
Gen 549:    aveUtil = 482.2831999999999
Gen 550:    aveUtil = 491.57379999999995
Gen 551:    aveUtil = 489.85799999999983
Gen 552:    aveUtil = 481.9521999999996
Gen 553:    aveUtil = 483.89339999999976
Gen 554:    aveUtil = 482.6345999999999
Gen 555:    aveUtil = 489.5321999999997
Gen 556:    aveUtil = 490.53559999999965
Gen 557:    aveUtil = 488.28979999999996
Gen 558:    aveUtil = 491.04300000000023
Gen 559:    aveUtil = 486.94700000000023
Gen 560:    aveUtil = 482.57340000000045
Gen 561:    aveUtil = 491.73280000000074
Gen 562:    aveUtil = 485.53580000000017
Gen 563:    aveUtil = 488.3972
Gen 564:    aveUtil = 491.0256000000002
Gen 565:    aveUtil = 479.3176000000001
Gen 566:    aveUtil = 484.84359999999936
Gen 567:    aveUtil = 480.76499999999953
Gen 568:    aveUtil = 475.7931999999997
Gen 569:    aveUtil = 479.7371999999993
Gen 570:    aveUtil = 474.74859999999967
Gen 571:    aveUtil = 487.3649999999995
Gen 572:    aveUtil = 484.1151999999994
Gen 573:    aveUtil = 484.12339999999995
Gen 574:    aveUtil = 483.7438
Gen 575:    aveUtil = 485.2697999999995
Gen 576:    aveUtil = 481.5733999999997
Gen 577:    aveUtil = 486.58019999999976
Gen 578:    aveUtil = 488.1636
Gen 579:    aveUtil = 487.76139999999964
Gen 580:    aveUtil = 485.41279999999995
Gen 581:    aveUtil = 492.1593999999998
Gen 582:    aveUtil = 492.4111999999999
Gen 583:    aveUtil = 488.48820000000006
Gen 584:    aveUtil = 484.8171999999999
Gen 585:    aveUtil = 485.8954000000003
Gen 586:    aveUtil = 486.0020000000008
Gen 587:    aveUtil = 483.5012000000001
Gen 588:    aveUtil = 481.9586000000002
Gen 589:    aveUtil = 485.66500000000065
Gen 590:    aveUtil = 490.61940000000055
Gen 591:    aveUtil = 486.50980000000044
Gen 592:    aveUtil = 489.8050000000007
Gen 593:    aveUtil = 490.5322000000009
Gen 594:    aveUtil = 498.0124000000009
Gen 595:    aveUtil = 496.2418000000008
Gen 596:    aveUtil = 483.0712000000006
Gen 597:    aveUtil = 494.8416000000004
Gen 598:    aveUtil = 481.2552000000001
Gen 599:    aveUtil = 488.37499999999994
Gen 600:    aveUtil = 490.90760000000057
Gen 601:    aveUtil = 492.8591999999998
Gen 602:    aveUtil = 489.7042000000003
Gen 603:    aveUtil = 488.8202000000004
Gen 604:    aveUtil = 494.69160000000096
